# Configuracion:
# Concentracion g/m^3_=_10000.0
# C_Vs_to_Am_M_A/Vsm_=_25649819763.59163
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_ref_Hz_=_310689.7873841325
# 
Resultados:
# tau_ns_=_(9.49+/-0.24)e+01
# dphi_rad_=_6.47+/-0.00
# SAR_W/g_=_599.96+/-34.78
# Hc_kA/m_=_13.22+/-0.19
# Mr_A/m_=_126.47+/-5.53
# Magnetizacion_max_emu/g_=_43.4+/-1.9
# Suceptibilidad_a_M=0_=_(1.060+/-0.034)e-02

Nombre_archivo	Time_m_(s)	Temperatura_(ºC)	Mr_(A/m)	Hc_(kA/m)	Campo_max_(A/m)	Mag_max_(A/m)	f0	mag0	dphi0	SAR_(W/g)	Tau_(ns)	N	xi_M_0
300kHz_150dA_100Mss_bobN5C10008.txt		20.00	135.67	13.33	57041.50	470.17	3.106279e+05	8.709396e+01	6.468543e+00	654.80	96.056035	4507	1.120e-02
300kHz_150dA_100Mss_bobN5C10009.txt		20.00	133.31	13.29	57041.50	464.73	3.106279e+05	8.608157e+01	6.467226e+00	642.64	95.357641	4507	1.105e-02
300kHz_150dA_100Mss_bobN5C10010.txt		20.00	134.09	13.41	57041.50	458.28	3.106968e+05	8.507393e+01	6.471268e+00	649.05	97.501482	4506	1.105e-02
300kHz_150dA_100Mss_bobN5C10011.txt		20.00	130.90	13.22	57041.50	453.72	3.106968e+05	8.407920e+01	6.465229e+00	621.09	94.299183	4506	1.096e-02
300kHz_150dA_100Mss_bobN5C10012.txt		20.00	132.23	13.43	57041.50	448.54	3.106279e+05	8.350979e+01	6.470594e+00	634.72	97.144192	4507	1.089e-02
300kHz_150dA_100Mss_bobN5C10013.txt		20.00	130.73	13.40	57041.50	443.22	3.106279e+05	8.254073e+01	6.470173e+00	625.96	96.920332	4507	1.079e-02
300kHz_150dA_100Mss_bobN5C10014.txt		20.00	128.10	13.16	57041.50	444.42	3.106279e+05	8.249159e+01	6.464871e+00	608.04	94.110272	4507	1.079e-02
300kHz_150dA_100Mss_bobN5C10015.txt		20.00	129.56	13.43	57041.50	436.12	3.106279e+05	8.131214e+01	6.472166e+00	623.13	97.979264	4507	1.071e-02
300kHz_150dA_100Mss_bobN5C10016.txt		20.00	128.32	13.31	57041.50	437.29	3.106279e+05	8.153847e+01	6.469389e+00	615.80	96.505840	4507	1.072e-02
300kHz_150dA_100Mss_bobN5C10017.txt		20.00	124.54	13.10	57041.50	433.41	3.106279e+05	8.038040e+01	6.463488e+00	588.02	93.379146	4507	1.056e-02
300kHz_150dA_100Mss_bobN5C10018.txt		20.00	125.30	13.42	57041.50	421.08	3.106279e+05	7.857633e+01	6.470688e+00	597.51	97.194243	4507	1.038e-02
300kHz_150dA_100Mss_bobN5C10019.txt		20.00	122.15	13.30	57041.50	414.36	3.106279e+05	7.710088e+01	6.467536e+00	576.55	95.523743	4507	1.020e-02
300kHz_150dA_100Mss_bobN5C10020.txt		20.00	121.56	13.17	57041.50	415.32	3.106279e+05	7.736613e+01	6.464634e+00	569.53	93.984761	4507	1.028e-02
300kHz_150dA_100Mss_bobN5C10021.txt		20.00	121.17	13.05	57041.50	416.49	3.106279e+05	7.757006e+01	6.462240e+00	563.58	92.716928	4507	1.037e-02
300kHz_150dA_100Mss_bobN5C10022.txt		20.00	121.88	13.23	57041.50	411.07	3.106279e+05	7.692568e+01	6.467310e+00	574.55	95.401742	4507	1.029e-02
300kHz_150dA_100Mss_bobN5C10023.txt		20.00	119.63	12.87	57041.50	420.09	3.106279e+05	7.814258e+01	6.458686e+00	556.59	90.838584	4507	1.018e-02
300kHz_150dA_100Mss_bobN5C10024.txt		20.00	120.73	13.07	57041.50	413.00	3.106279e+05	7.710224e+01	6.464443e+00	567.00	93.882821	4507	1.033e-02
300kHz_150dA_100Mss_bobN5C10025.txt		20.00	116.57	12.76	57041.50	410.56	3.106279e+05	7.629059e+01	6.454555e+00	530.73	88.657054	4507	1.003e-02
