# 250808_12:05:33.570992
t	CH1	CH2
0.000000e+00	8.441188e-02	1.267525e+01
1.000000e-08	8.807135e-02	1.262313e+01
2.000000e-08	8.906317e-02	1.259010e+01
3.000000e-08	8.959910e-02	1.258850e+01
4.000000e-08	8.892001e-02	1.254684e+01
5.000000e-08	9.152305e-02	1.249411e+01
6.000000e-08	9.835644e-02	1.243050e+01
7.000000e-08	9.988300e-02	1.235934e+01
8.000000e-08	1.012577e-01	1.232428e+01
9.000000e-08	1.013303e-01	1.218950e+01
1.000000e-07	1.046356e-01	1.209684e+01
1.100000e-07	1.025172e-01	1.200216e+01
1.200000e-07	1.015210e-01	1.193937e+01
1.300000e-07	1.004529e-01	1.181268e+01
1.400000e-07	9.974856e-02	1.173842e+01
1.500000e-07	9.488776e-02	1.162163e+01
1.600000e-07	9.053771e-02	1.154486e+01
1.700000e-07	8.893632e-02	1.139850e+01
1.800000e-07	8.121011e-02	1.123526e+01
1.900000e-07	7.457684e-02	1.112837e+01
2.000000e-07	6.989649e-02	1.101210e+01
2.100000e-07	6.347961e-02	1.093731e+01
2.200000e-07	5.946116e-02	1.079047e+01
2.300000e-07	5.710498e-02	1.066263e+01
2.400000e-07	5.580920e-02	1.054689e+01
2.500000e-07	5.199785e-02	1.034900e+01
2.600000e-07	4.867553e-02	1.020115e+01
2.700000e-07	4.366520e-02	1.005726e+01
2.800000e-07	4.209578e-02	9.898265e+00
2.900000e-07	3.833885e-02	9.747919e+00
3.000000e-07	3.579914e-02	9.570070e+00
3.100000e-07	3.329679e-02	9.402078e+00
3.200000e-07	3.335317e-02	9.255659e+00
3.300000e-07	3.104887e-02	9.083736e+00
3.400000e-07	3.026885e-02	8.917866e+00
3.500000e-07	2.627812e-02	8.696842e+00
3.600000e-07	2.303047e-02	8.528847e+00
3.700000e-07	2.292508e-02	8.419923e+00
3.800000e-07	2.046364e-02	8.189501e+00
3.900000e-07	1.978366e-02	7.981450e+00
4.000000e-07	1.831785e-02	7.749506e+00
4.100000e-07	1.710275e-02	7.610003e+00
4.200000e-07	1.621785e-02	7.356449e+00
4.300000e-07	1.390260e-02	7.126345e+00
4.400000e-07	1.155003e-02	6.917421e+00
4.500000e-07	9.725805e-03	6.747799e+00
4.600000e-07	1.029430e-02	6.516367e+00
4.700000e-07	9.432635e-03	6.296289e+00
4.800000e-07	7.930951e-03	6.097244e+00
4.900000e-07	6.359349e-03	5.877742e+00
5.000000e-07	7.024973e-03	5.644659e+00
5.100000e-07	6.273336e-03	5.463109e+00
5.200000e-07	3.441621e-03	5.201458e+00
5.300000e-07	4.490103e-03	4.906791e+00
5.400000e-07	2.949436e-03	4.686166e+00
5.500000e-07	3.337999e-03	4.444713e+00
5.600000e-07	2.719344e-03	4.272736e+00
5.700000e-07	1.711509e-03	3.981949e+00
5.800000e-07	9.649294e-04	3.759925e+00
5.900000e-07	-1.025081e-03	3.569426e+00
6.000000e-07	-1.683139e-03	3.286718e+00
6.100000e-07	-2.075693e-03	3.065089e+00
6.200000e-07	-1.836117e-03	2.852682e+00
6.300000e-07	-1.687237e-03	2.601052e+00
6.400000e-07	-4.588351e-03	2.327345e+00
6.500000e-07	-6.289060e-03	2.096266e+00
6.600000e-07	-6.243481e-03	1.907192e+00
6.700000e-07	-5.798359e-03	1.591539e+00
6.800000e-07	-7.248346e-03	1.368450e+00
6.900000e-07	-7.268192e-03	1.108221e+00
7.000000e-07	-5.624730e-03	7.919840e-01
7.100000e-07	-5.015253e-03	5.699789e-01
7.200000e-07	-3.491962e-03	3.574000e-01
7.300000e-07	-2.371211e-04	5.619334e-02
7.400000e-07	1.709070e-02	-1.354382e-01
7.500000e-07	2.947589e-02	-3.763659e-01
7.600000e-07	-2.277570e-02	-5.764382e-01
7.700000e-07	-5.356412e-03	-8.100462e-01
7.800000e-07	2.206331e-02	-1.039097e+00
7.900000e-07	-1.158050e-02	-1.240799e+00
8.000000e-07	-4.596036e-03	-1.494832e+00
8.100000e-07	1.236107e-01	-1.712732e+00
8.200000e-07	3.236209e-01	-1.892228e+00
8.300000e-07	-1.768080e-01	-2.104881e+00
8.400000e-07	-4.170897e-01	-2.463730e+00
8.500000e-07	1.745464e-01	-2.755862e+00
8.600000e-07	1.435814e-01	-3.008012e+00
8.700000e-07	-4.647036e-01	-3.241624e+00
8.800000e-07	-1.130581e-01	-3.451575e+00
8.900000e-07	4.972661e-01	-3.579469e+00
9.000000e-07	-2.902512e-01	-3.849611e+00
9.100000e-07	-2.139893e-01	-4.073724e+00
9.200000e-07	4.873368e-01	-4.281698e+00
9.300000e-07	-3.097978e-01	-4.443725e+00
9.400000e-07	-3.082220e-01	-4.726384e+00
9.500000e-07	1.807863e-01	-5.007985e+00
9.600000e-07	7.447065e-02	-5.228565e+00
9.700000e-07	-1.943782e-01	-5.490701e+00
9.800000e-07	-4.083286e-02	-5.715833e+00
9.900000e-07	3.791223e-01	-5.934783e+00
1.000000e-06	-2.175143e-01	-6.154456e+00
1.010000e-06	-3.509728e-02	-6.399520e+00
1.020000e-06	-2.447399e-02	-6.627069e+00
