# Temperatura_=_20.0
# Concentracion g/m^3_=_10000.0
# C_Vs_to_Am_M_A/Vsm_=_25649819763.59163
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_310764.2437457076
# Promedio de 18 ciclos

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-6.605586e-09	-2.003794e-08	-5.705208e+01	-5.136605e+02
1.000000e-08	-6.602226e-09	-2.003223e-08	-5.702307e+01	-5.134404e+02
2.000000e-08	-6.596476e-09	-2.004963e-08	-5.697340e+01	-5.131035e+02
3.000000e-08	-6.588508e-09	-2.004463e-08	-5.690458e+01	-5.126678e+02
4.000000e-08	-6.578116e-09	-2.001654e-08	-5.681483e+01	-5.121583e+02
5.000000e-08	-6.565168e-09	-2.000701e-08	-5.670300e+01	-5.116046e+02
6.000000e-08	-6.549544e-09	-2.000255e-08	-5.656806e+01	-5.110382e+02
7.000000e-08	-6.531293e-09	-1.995308e-08	-5.641042e+01	-5.104885e+02
8.000000e-08	-6.510514e-09	-1.976238e-08	-5.623096e+01	-5.099802e+02
9.000000e-08	-6.487035e-09	-1.963794e-08	-5.602816e+01	-5.095298e+02
1.000000e-07	-6.460890e-09	-1.985658e-08	-5.580235e+01	-5.091440e+02
1.100000e-07	-6.432472e-09	-1.996492e-08	-5.555691e+01	-5.088181e+02
1.200000e-07	-6.402124e-09	-1.970355e-08	-5.529480e+01	-5.085369e+02
1.300000e-07	-6.369904e-09	-1.965228e-08	-5.501652e+01	-5.082753e+02
1.400000e-07	-6.335766e-09	-1.991485e-08	-5.472167e+01	-5.080008e+02
1.500000e-07	-6.299628e-09	-1.988606e-08	-5.440955e+01	-5.076762e+02
1.600000e-07	-6.261262e-09	-1.957489e-08	-5.407818e+01	-5.072633e+02
1.700000e-07	-6.220500e-09	-1.966900e-08	-5.372612e+01	-5.067254e+02
1.800000e-07	-6.177276e-09	-1.982341e-08	-5.335280e+01	-5.060310e+02
1.900000e-07	-6.131557e-09	-1.954048e-08	-5.295793e+01	-5.051553e+02
2.000000e-07	-6.083443e-09	-1.954845e-08	-5.254237e+01	-5.040819e+02
2.100000e-07	-6.032626e-09	-1.973980e-08	-5.210346e+01	-5.028030e+02
2.200000e-07	-5.979119e-09	-1.948059e-08	-5.164133e+01	-5.013190e+02
2.300000e-07	-5.923266e-09	-1.927779e-08	-5.115893e+01	-4.996371e+02
2.400000e-07	-5.865068e-09	-1.942440e-08	-5.065628e+01	-4.977695e+02
2.500000e-07	-5.804588e-09	-1.930031e-08	-5.013391e+01	-4.957313e+02
2.600000e-07	-5.741895e-09	-1.899600e-08	-4.959244e+01	-4.935384e+02
2.700000e-07	-5.677044e-09	-1.903549e-08	-4.903232e+01	-4.912059e+02
2.800000e-07	-5.609962e-09	-1.905229e-08	-4.845294e+01	-4.887462e+02
2.900000e-07	-5.540630e-09	-1.886036e-08	-4.785412e+01	-4.861688e+02
3.000000e-07	-5.469143e-09	-1.875806e-08	-4.723669e+01	-4.834795e+02
