# 250808_12:53:14.964915
t	CH1	CH2
0.000000e+00	4.712445e-02	1.293943e+01
1.000000e-08	4.977487e-02	1.288787e+01
2.000000e-08	5.078716e-02	1.287834e+01
3.000000e-08	4.901401e-02	1.285516e+01
4.000000e-08	4.773463e-02	1.281101e+01
5.000000e-08	4.449499e-02	1.274948e+01
6.000000e-08	4.653375e-02	1.269727e+01
7.000000e-08	4.869335e-02	1.262461e+01
8.000000e-08	4.444893e-02	1.256151e+01
9.000000e-08	4.625212e-02	1.250792e+01
1.000000e-07	4.439572e-02	1.240256e+01
1.100000e-07	4.327962e-02	1.237845e+01
1.200000e-07	4.014055e-02	1.229559e+01
1.300000e-07	3.710484e-02	1.214053e+01
1.400000e-07	3.603341e-02	1.205567e+01
1.500000e-07	3.507318e-02	1.198941e+01
1.600000e-07	3.526684e-02	1.185419e+01
1.700000e-07	3.408186e-02	1.170995e+01
1.800000e-07	3.240688e-02	1.159459e+01
1.900000e-07	3.110110e-02	1.150624e+01
2.000000e-07	2.922073e-02	1.130086e+01
2.100000e-07	2.551482e-02	1.122364e+01
2.200000e-07	2.239002e-02	1.110627e+01
2.300000e-07	2.277945e-02	1.095996e+01
2.400000e-07	2.402827e-02	1.083511e+01
2.500000e-07	2.442922e-02	1.069632e+01
2.600000e-07	2.106451e-02	1.051908e+01
2.700000e-07	1.891583e-02	1.038958e+01
2.800000e-07	1.988717e-02	1.023364e+01
2.900000e-07	1.792199e-02	1.008632e+01
3.000000e-07	1.448015e-02	9.896799e+00
3.100000e-07	1.230019e-02	9.710904e+00
3.200000e-07	1.331948e-02	9.579958e+00
3.300000e-07	1.418086e-02	9.411557e+00
3.400000e-07	1.264115e-02	9.230690e+00
3.500000e-07	1.018154e-02	9.053663e+00
3.600000e-07	1.002497e-02	8.836793e+00
3.700000e-07	9.568608e-03	8.677264e+00
3.800000e-07	8.410097e-03	8.466821e+00
3.900000e-07	5.999022e-03	8.317376e+00
4.000000e-07	7.135291e-03	8.088924e+00
